key,source,target,status
admin.translation.interfaceOnly,Translation management applies only to the application interface. Exam content comes from the Admin package and must not be changed by UX language.,Translation management applies only to the application interface. Izpit content comes from the Admin paket and must not be changed by UX jezik.,draft
admin.translation.tableTitle,Dedicated UI translation table,Namenska tabela prevodov uporabniškega vmesnika,draft
admin.translation.tableHelper,"Every interface term is stored here with its key, English source, current UI translation and context for Admin review.","Every interface term is stored here with its key, English source, trenutno UI translation and conbesedilo for Admin review.",draft
admin.translation.source,EN source,Vir EN,draft
admin.translation.current,Current UI text,Trenutno besedilo vmesnika,draft
admin.translation.exportCsv,Export translation CSV,Izvozi CSV prevodov,draft
admin.translation.import,Import translation file,Uvozi datoteko prevodov,draft
admin.translation.importHelper,Import UI translations into the currently selected interface language. The file may be CSV exported from this table or a flat JSON dictionary.,Uvozi UI translations into the trenutnoly selected interface jezik. The file may be CSV izvozied from this table or a flat JSON dictionary.,draft
admin.translation.importConfirm,Importing translations for {language} (from the system setting). Overwrite the current interface?,Uvoziing translations for {jezik} (from the system setting). Overwrite the trenutno interface?,draft
admin.translation.importYes,"Yes, overwrite","Yes, overwrite",draft
admin.translation.importNo,No,No,draft
admin.translation.importReady,{count} translation term(s) found.,{count} translation term(s) found.,draft
admin.translation.imported,Translations were imported. Reloading the interface.,Translations were uvozied. Renaložiing the interface.,draft
admin.translation.importFailed,Translation import failed. Check the file format.,Translation uvozi failed. Check the file format.,draft
admin.centreAccess.helper,Generate the centre link only when the package is ready and the exam is open.,Generate the centre link only when the paket is pripravljeno and the izpit is odpri.,draft
admin.centreAccess.copyPrompt,Copy the Centre access link,Copy the Centre access link,draft
admin.packagePdf.helper,Certification PDFs are converted into a local JSON package. The application UX language does not change the language or content of exam documents.,Certification PDFs are converted into a local JSON paket. The application UX jezik does not change the jezik or content of izpit documents.,draft
admin.packagePdf.convert,Convert 4 PDFs,Convert 4 PDFs,draft
admin.packagePdf.loadList,Load list,Naloži list,draft
admin.packagePdf.loadLatest,Load latest,Naloži latest,draft
admin.packagePdf.loadActive,Load active,Naloži active,draft
admin.packagePdf.approve,Approve for Centre,Approve for Centre,draft
admin.packagePdf.overrideApprove,Override approval,Override approval,draft
centre.package.sectionTitle,A - Load exam package,A - Naloži izpit paket,draft
centre.package.sectionDescription,Load the .vet package sent by Admin. The package sets the content of tests and forms for further exam preparation.,Naloži the .vet paket sent by Admin. The paket sets the content of tests and forms for further izpit preparation.,draft
centre.package.panelTitle,Load the .vet package sent by Admin,"Naloži paket .vet, ki ga je poslal Admin",draft
centre.package.panelHelper,This step sets the current exam content for the centre. Levels and variants are taken directly from the package.,This step sets the trenutno izpit content for the centre. Levels and variants are taken directly from the paket.,draft
centre.package.cardHelper,"Select VetBara Package 1. The package contains rules, tests and forms for the outdoor session in the relevant language.","Select VetBara Paket 1. The paket contains rules, tests and forms for the outdoor session in the relevant jezik.",draft
centre.package.loadFile,Load .vet,Naloži .vet,draft
centre.package.loadServer,Load from server,Naloži s strežnika,draft
centre.package.defaultLabel,package,paket,draft
centre.package.activeLabel,active package,active paket,draft
centre.package.statusLoaded,"Loaded: {label} ({testQuestions} test questions, {outdoorItems} outdoor items).","Naložied: {label} ({testVprašanjes} test vprašanjes, {outdoorItems} outdoor items).",draft
centre.package.statusLoadingVet,Loading VetBara Package 1 (.vet)...,Naložiing VetBara Paket 1 (.vet)...,draft
centre.package.statusLoadingServer,Loading active package from server...,Naložiing active paket from server...,draft
centre.package.errorNoData,The package does not contain Package 1 data.,The paket does not contain Paket 1 data.,draft
centre.package.errorImportFailed,Importing the .vet package failed.,Uvoziing the .vet paket failed.,draft
centre.package.errorServerFailed,Loading the active package failed.,Naložiing the active paket failed.,draft
centre.advancedTools,Advanced tools,Napredna orodja,draft
centre.advancedTools.helper,"Service options for audit, manual import of older packages and operational checks. A normal exam run usually does not need them.","Service options for audit, manual uvozi of older pakets and operational checks. A normal izpit run usually does not need them.",draft
centre.setup.openSaved,Open saved setup,Odpri shranjene nastavitve,draft
centre.fieldSetup.sectionTitle,B - Field site setup,B - Field site nastavitev,draft
centre.fieldSetup.sectionDescription,"Preparation of the field part of the exam: test centre, physical trees, Practicing/Consulting A-D assignments, Practicing A data, validation and candidate exports.","Preparation of the field part of the izpit: test centre, physical drevos, Practicing/Consulting A-D assignments, Practicing A data, validacija and kandidat izvozis.",draft
centre.people.sectionTitle,C - Candidates and examiners,C - Kandidats and izpitiners,draft
centre.people.sectionDescription,"Manage candidates, examiners and primary/secondary examiner assignments. Candidate and examiner lists use the same type of edit cards.","Manage kandidats, izpitiners and primary/secondary izpitiner assignments. Kandidat and izpitiner lists use the same type of edit cards.",draft
candidate.section.orientation,Orientation,Orientation,draft
candidate.section.trees,Tree preparation,Drevo preparation,draft
field.map.packageStored,Field map package is stored on this tablet.,Field map paket is stored on this tablet.,draft
examiner.offlinePackage.title,Offline candidate package,Offline kandidat paket,draft
examiner.offlinePackage.helper,"If the backend or internet does not work, upload the JSON package exported from the Candidate portal here.","If the backend or internet does not work, upnaloži the JSON paket izvozied from the Kandidat portal here.",draft
examiner.offlinePackage.import,Import offline package,Uvozi offline paket,draft
common.remove,Remove,Remove,draft
common.saving,Saving...,Saving...,draft
centre.setup.save,Save setup,Shrani nastavitve,draft
centre.meta.packageLoaded,Package loaded,Paket naložied,draft
centre.meta.waitingForPackage,Waiting for package,Waiting for paket,draft
centre.meta.peopleCount,{candidates} candidate(s) · {examiners} examiner(s),{kandidats} kandidat(s) · {izpitiners} izpitiner(s),draft
centre.meta.checkCount,{count} check(s),{count} check(s),draft
centre.candidates.helper,Enter candidates and their exam level.,Enter kandidats and their izpit level.,draft
centre.examiners.helper,Add or edit examiners who will be assigned to candidates.,Add or edit izpitiners who will be assigned to kandidats.,draft
centre.accessControl.sectionTitle,D - Access and checks,D - Access and checks,draft
centre.accessControl.sectionDescription,"QR links for candidates and examiners, readiness checks and operational exam overview.","QR links for kandidats and izpitiners, readiness checks and operational izpit overview.",draft
centre.results.title,Candidate results overview,Pregled rezultatov kandidatov,draft
centre.results.helper,Summary of individual candidate results. Result editing takes place in the Examiner interface after clicking the relevant result.,Summary of individual kandidat results. Result editing takes place in the Izpitiner interface after clicking the relevant result.,draft
centre.results.candidateNumber,Candidate number,Številka kandidata,draft
centre.results.name,Name,Ime,draft
centre.results.testResult,Test result,Rezultat testa,draft
centre.results.outdoorResult,Outdoor result,Rezultat outdoor dela,draft
centre.results.reportResult,Report result,Rezultat poročila,draft
centre.results.answeredCount,{answered} / {total} answered,{odgovored} / {total} odgovored,draft
centre.results.primary,Primary,Primary,draft
centre.results.secondary,Secondary,Secondary,draft
centre.results.notRequired,Not required,Ni zahtevano,draft
common.find,Find,Find,draft
common.name,Name,Ime,draft
centre.fieldSetup.panelTitle,Field site setup,Priprava terenskega mesta,draft
centre.fieldSetup.panelHelper,"Prepare the map and trees, open tablet mode, load changes from the tablet and save the final field setup.","Prepare the map and drevos, odpri tablet mode, naloži changes from the tablet and shrani the final field nastavitev.",draft
centre.fieldSetup.errorCount,{count} error(s),{count} napaka(s),draft
centre.fieldSetup.noBlockingError,No blocking error,No blocking napaka,draft
centre.fieldSetup.requiredAssignments,{ready} / {total} required assignments,{pripravljeno} / {total} required assignments,draft
centre.fieldSetup.tabletSyncLoaded,Tablet sync loaded,Tablet sync naložied,draft
centre.fieldSetup.tabletAccess,Tablet access,Dostop s tablico,draft
centre.fieldSetup.reopenRequiresPassword,Reopen requires Vetarbo,Reodpri requires Vetarbo,draft
centre.fieldSetup.openTablet,Open tablet,Odpri tablico,draft
centre.fieldSetup.loadTabletChanges,Load tablet changes,Naloži spremembe s tablice,draft
centre.fieldSetup.loadTabletChangesTitle,Load changes saved by the tablet,Naloži changes shranid by the tablet,draft
centre.fieldSetup.lastSyncLoaded,Last sync loaded: {date},Last sync naložied: {date},draft
centre.fieldSetup.siteName,Site name,Site name,draft
centre.fieldSetup.examId,Exam ID,Izpit ID,draft
centre.fieldSetup.referenceCoordinates,Reference coordinates,Reference coordinates,draft
centre.fieldSetup.mapPreviewTitle,Field site map preview,Field site map preview,draft
centre.fieldSetup.mapPreviewHelper,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,draft
centre.fieldSetup.reference,Reference,Reference,draft
centre.fieldSetup.centerMarker,Centre,Center,draft
centre.fieldSetup.treeMarker,tree,drevo,draft
centre.fieldSetup.examCentre,Exam centre,Izpit centre,draft
centre.fieldSetup.latitude,Latitude,Latitude,draft
centre.fieldSetup.longitude,Longitude,Longitude,draft
centre.fieldSetup.candidateNote,Candidate note,Kandidat note,draft
centre.fieldSetup.internalNote,Internal note,Internal note,draft
centre.fieldSetup.selectedTree,Selected tree,Izbrano drevo,draft
centre.fieldSetup.treeName,Tree name,Ime drevesa,draft
centre.fieldSetup.assignments,Assignments,Assignments,draft
centre.fieldSetup.addAssignment,+ assignment,+ assignment,draft
centre.fieldSetup.managementDataTitle,Practicing A · management data,Practicing A · management data,draft
centre.fieldSetup.taxon,Taxon,Taxon,draft
centre.fieldSetup.heightM,Height m,Height m,draft
centre.fieldSetup.stemDiameterCm,Stem diameter cm,Stem diameter cm,draft
centre.fieldSetup.crownSpreadM,Crown spread m,Crown spread m,draft
centre.fieldSetup.interventionTechnology,Intervention technology,Intervention technology,draft
centre.fieldSetup.addTechnology,+ technology,+ technology,draft
centre.fieldSetup.technology,Technology,Technology,draft
centre.fieldSetup.description,Description,Description,draft
centre.fieldSetup.photos,Photos,Fotografije,draft
centre.fieldSetup.selectTreeOrCentre,Select a tree or the exam centre on the map.,Select a drevo or the izpit centre on the map.,draft
centre.fieldSetup.validationTitle,Validation,Validacija,draft
centre.fieldSetup.validationComplete,Preparation is complete.,Preparation is complete.,draft
centre.fieldSetup.error.allRequiredReady,All required Practicing A-D and Consulting A-D trees are already prepared. Add another tree only by changing an existing assignment.,All required Practicing A-D and Consulting A-D drevos are alpripravljeno prepared. Add another drevo only by changing an existing assignment.,draft
centre.fieldSetup.error.loadFailed,Field setup could not be loaded.,Field nastavitev could not be naložied.,draft
centre.fieldSetup.status.loaded,Field setup loaded.,Field nastavitev naložied.,draft
centre.fieldSetup.error.tabletLoadFailed,Tablet changes could not be loaded.,Tablet changes could not be naložied.,draft
centre.fieldSetup.status.tabletChangesLoadedWithId,Tablet changes loaded ({syncId}).,Tablet changes naložied ({syncId}).,draft
centre.fieldSetup.status.tabletChangesLoaded,Tablet changes loaded.,Tablet changes naložied.,draft
centre.fieldSetup.error.saveFailed,Field setup could not be saved.,Field nastavitev could not be shranid.,draft
centre.fieldSetup.status.saved,Field setup saved.,Field nastavitev shranid.,draft
centre.fieldSetup.error.coordinateFormat,"Coordinates must use a format such as 49.406706323, 15.129055089.","Coordinates must use a format such as 49.406706323, 15.129055089.",draft
centre.fieldSetup.reopenPrompt,Field tablet has already been synced back. Enter Vetarbo password to reopen it:,Field tablet has alpripravljeno been synced back. Enter Vetarbo password to reodpri it:,draft
centre.fieldSetup.error.tabletLocked,Tablet mode is locked after tablet changes were loaded. Enter the Vetarbo password to reopen it.,Tablet mode is locked after tablet changes were naložied. Enter the Vetarbo password to reodpri it.,draft
centre.fieldSetup.validation.centerGps,Exam centre does not have valid GPS coordinates.,Izpit centre does not have valid GPS coordinates.,draft
centre.fieldSetup.validation.treeGps,{tree} does not have valid GPS coordinates.,{drevo} does not have valid GPS coordinates.,draft
centre.fieldSetup.validation.missingTree,Missing {level} tree {code}.,Missing {level} drevo {code}.,draft
centre.fieldSetup.validation.duplicateTree,{level} tree {code} is assigned more than once.,{level} drevo {code} is assigned more than once.,draft
centre.fieldSetup.validation.practicingAMissingData,Practicing A has no management data.,Practicing A has no management data.,draft
centre.fieldSetup.validation.practicingATaxon,Practicing A: taxon is missing.,Practicing A: taxon is missing.,draft
centre.fieldSetup.validation.practicingAHeight,Practicing A: height is missing.,Practicing A: height is missing.,draft
centre.fieldSetup.validation.practicingAStemDiameter,Practicing A: stem diameter is missing.,Practicing A: stem diameter is missing.,draft
centre.fieldSetup.validation.practicingACrownSpread,Practicing A: crown spread is missing.,Practicing A: crown spread is missing.,draft
centre.fieldSetup.validation.practicingAIntervention,Practicing A: at least one intervention technology is missing.,Practicing A: at least one intervention technology is missing.,draft
fieldTablet.defaultTreeName,Tree {index},Drevo {index},draft
vetcert.rules.title,VETcert Rules reference,Referenca pravil VETcert,draft
vetcert.rules.body,"Official examination rules are the reference document for the certification process. Examination materials, model answers and completed exams are confidential.","Official izpitination rules are the reference document for the certification process. Izpitination materials, model odgovors and completed izpits are confidential.",draft
vetcert.rules.confidentiality,"Do not show correct answers, answer keys or guiding marking notes to Candidates or Examiners in the assessment interface.","Do not show correct odgovors, odgovor keys or guiding marking notes to Kandidats or Izpitiners in the assessment interface.",draft
centre.fieldSetup.choosePhotos,Choose photos,Izberi fotografije,draft
centre.fieldSetup.noPhotosSelected,No photos selected,Ni izbranih fotografij,draft
centre.fieldSetup.photoCount,{count} photo(s) selected,Izbranih fotografij: {count},draft
admin.translation.termSaved,Translation saved locally.,Prevod je lokalno shranjen.,draft
admin.translation.clickToEdit,Click to edit this UI text.,Kliknite za urejanje tega besedila vmesnika.,draft
admin.translation.editCurrent,Edit current UI text for {key},Edit trenutno UI besedilo for {key},draft
