key,source,target,status
status.testImport.loadedStoredFull,Loaded stored test package with {variants} variant(s) and {questions} question(s).,Wczytajed stored test pakiet with {variants} variant(s) and {pytanies} pytanie(s).,draft
status.testImport.loadedStored,Loaded stored test package.,Wczytajed stored test pakiet.,draft
status.centreAuditExport.unavailable,The Centre Audit Package requires a valid Centre session. Reopen the Centre QR and try again.,The Centre Audit Pakiet requires a valid Centre session. Reotwórz the Centre QR and try again.,draft
app.mvpPrototype,Full workflow,Full workflow,draft
app.offlineFirst,offline-first,offline-first,draft
common.loading,Loading...,Wczytajing...,draft
admin.translation.interfaceOnly,Translation management applies only to the application interface. Exam content comes from the Admin package and must not be changed by UX language.,Translation management applies only to the application interface. Egzamin content comes from the Admin pakiet and must not be changed by UX język.,draft
admin.translation.tableTitle,Dedicated UI translation table,Dedykowana tabela tłumaczeń UI,draft
admin.translation.tableHelper,"Every interface term is stored here with its key, English source, current UI translation and context for Admin review.","Every interface term is stored here with its key, English source, aktualny UI translation and contekst for Admin review.",draft
admin.translation.source,EN source,Źródło EN,draft
admin.translation.current,Current UI text,Aktualny tekst UI,draft
admin.translation.exportCsv,Export translation CSV,Eksportuj CSV tłumaczeń,draft
admin.translation.import,Import translation file,Importuj plik tłumaczeń,draft
admin.translation.importHelper,Import UI translations into the currently selected interface language. The file may be CSV exported from this table or a flat JSON dictionary.,Importuj UI translations into the aktualnyly selected interface język. The file may be CSV eksportujed from this table or a flat JSON dictionary.,draft
admin.translation.importConfirm,Importing translations for {language} (from the system setting). Overwrite the current interface?,Importujing translations for {język} (from the system setting). Overwrite the aktualny interface?,draft
admin.translation.importYes,"Yes, overwrite","Yes, overwrite",draft
admin.translation.importNo,No,No,draft
admin.translation.importReady,{count} translation term(s) found.,{count} translation term(s) found.,draft
admin.translation.imported,Translations were imported. Reloading the interface.,Translations were importujed. Rewczytajing the interface.,draft
admin.translation.importFailed,Translation import failed. Check the file format.,Translation importuj failed. Check the file format.,draft
admin.centreAccess.helper,Generate the centre link only when the package is ready and the exam is open.,Generate the centre link only when the pakiet is gotowe and the egzamin is otwórz.,draft
admin.centreAccess.copyPrompt,Copy the Centre access link,Copy the Centre access link,draft
admin.packagePdf.helper,Certification PDFs are converted into a local JSON package. The application UX language does not change the language or content of exam documents.,Certification PDFs are converted into a local JSON pakiet. The application UX język does not change the język or content of egzamin documents.,draft
admin.packagePdf.convert,Convert 4 PDFs,Convert 4 PDFs,draft
admin.packagePdf.loadList,Load list,Wczytaj list,draft
admin.packagePdf.loadLatest,Load latest,Wczytaj latest,draft
admin.packagePdf.loadActive,Load active,Wczytaj active,draft
admin.packagePdf.approve,Approve for Centre,Approve for Centre,draft
admin.packagePdf.overrideApprove,Override approval,Override approval,draft
centre.package.sectionTitle,A - Load exam package,A - Wczytaj egzamin pakiet,draft
centre.package.sectionDescription,Load the .vet package sent by Admin. The package sets the content of tests and forms for further exam preparation.,Wczytaj the .vet pakiet sent by Admin. The pakiet sets the content of tests and forms for further egzamin preparation.,draft
centre.package.panelTitle,Load the .vet package sent by Admin,Wczytaj pakiet .vet wysłany przez Admina,draft
centre.package.panelHelper,This step sets the current exam content for the centre. Levels and variants are taken directly from the package.,This step sets the aktualny egzamin content for the centre. Levels and variants are taken directly from the pakiet.,draft
centre.package.cardHelper,"Select VetBara Package 1. The package contains rules, tests and forms for the outdoor session in the relevant language.","Select VetBara Pakiet 1. The pakiet contains rules, tests and forms for the outdoor session in the relevant język.",draft
centre.package.loadFile,Load .vet,Wczytaj .vet,draft
centre.package.loadServer,Load from server,Wczytaj z serwera,draft
centre.package.defaultLabel,package,pakiet,draft
centre.package.activeLabel,active package,active pakiet,draft
centre.package.statusLoaded,"Loaded: {label} ({testQuestions} test questions, {outdoorItems} outdoor items).","Wczytajed: {label} ({testPytanies} test pytanies, {outdoorItems} outdoor items).",draft
centre.package.statusLoadingVet,Loading VetBara Package 1 (.vet)...,Wczytajing VetBara Pakiet 1 (.vet)...,draft
centre.package.statusLoadingServer,Loading active package from server...,Wczytajing active pakiet from server...,draft
centre.package.errorNoData,The package does not contain Package 1 data.,The pakiet does not contain Pakiet 1 data.,draft
centre.package.errorImportFailed,Importing the .vet package failed.,Importujing the .vet pakiet failed.,draft
centre.package.errorServerFailed,Loading the active package failed.,Wczytajing the active pakiet failed.,draft
centre.advancedTools,Advanced tools,Narzędzia zaawansowane,draft
centre.advancedTools.helper,"Service options for audit, manual import of older packages and operational checks. A normal exam run usually does not need them.","Service options for audit, manual importuj of older pakiets and operational checks. A normal egzamin run usually does not need them.",draft
centre.setup.openSaved,Open saved setup,Otwórz zapisaną konfigurację,draft
centre.fieldSetup.sectionTitle,B - Field site setup,B - Field site konfiguracja,draft
centre.fieldSetup.sectionDescription,"Preparation of the field part of the exam: test centre, physical trees, Practicing/Consulting A-D assignments, Practicing A data, validation and candidate exports.","Preparation of the field part of the egzamin: test centre, physical drzewos, Practicing/Consulting A-D assignments, Practicing A data, walidacja and kandydat eksportujs.",draft
centre.people.sectionTitle,C - Candidates and examiners,C - Kandydats and egzamininers,draft
centre.people.sectionDescription,"Manage candidates, examiners and primary/secondary examiner assignments. Candidate and examiner lists use the same type of edit cards.","Manage kandydats, egzamininers and primary/secondary egzamininer assignments. Kandydat and egzamininer lists use the same type of edit cards.",draft
candidate.section.orientation,Orientation,Orientation,draft
candidate.section.trees,Tree preparation,Drzewo preparation,draft
field.map.packageStored,Field map package is stored on this tablet.,Field map pakiet is stored on this tablet.,draft
examiner.offlinePackage.title,Offline candidate package,Offline kandydat pakiet,draft
examiner.offlinePackage.helper,"If the backend or internet does not work, upload the JSON package exported from the Candidate portal here.","If the backend or internet does not work, upwczytaj the JSON pakiet eksportujed from the Kandydat portal here.",draft
examiner.offlinePackage.import,Import offline package,Importuj offline pakiet,draft
common.remove,Remove,Remove,draft
common.saving,Saving...,Saving...,draft
centre.setup.save,Save setup,Zapisz konfigurację,draft
centre.meta.packageLoaded,Package loaded,Pakiet wczytajed,draft
centre.meta.waitingForPackage,Waiting for package,Waiting for pakiet,draft
centre.meta.peopleCount,{candidates} candidate(s) · {examiners} examiner(s),{kandydats} kandydat(s) · {egzamininers} egzamininer(s),draft
centre.meta.checkCount,{count} check(s),{count} check(s),draft
centre.candidates.helper,Enter candidates and their exam level.,Enter kandydats and their egzamin level.,draft
centre.examiners.helper,Add or edit examiners who will be assigned to candidates.,Add or edit egzamininers who will be assigned to kandydats.,draft
centre.accessControl.sectionTitle,D - Access and checks,D - Access and checks,draft
centre.accessControl.sectionDescription,"QR links for candidates and examiners, readiness checks and operational exam overview.","QR links for kandydats and egzamininers, readiness checks and operational egzamin overview.",draft
centre.results.title,Candidate results overview,Przegląd wyników kandydatów,draft
centre.results.helper,Summary of individual candidate results. Result editing takes place in the Examiner interface after clicking the relevant result.,Summary of individual kandydat results. Result editing takes place in the Egzamininer interface after clicking the relevant result.,draft
centre.results.candidateNumber,Candidate number,Numer kandydata,draft
centre.results.name,Name,Imię i nazwisko,draft
centre.results.testResult,Test result,Wynik testu,draft
centre.results.outdoorResult,Outdoor result,Wynik outdoor,draft
centre.results.reportResult,Report result,Wynik raportu,draft
centre.results.answeredCount,{answered} / {total} answered,{odpowiedźed} / {total} odpowiedźed,draft
centre.results.primary,Primary,Primary,draft
centre.results.secondary,Secondary,Secondary,draft
centre.results.notRequired,Not required,Niewymagane,draft
common.find,Find,Find,draft
common.name,Name,Imię i nazwisko,draft
centre.fieldSetup.panelTitle,Field site setup,Przygotowanie stanowiska terenowego,draft
centre.fieldSetup.panelHelper,"Prepare the map and trees, open tablet mode, load changes from the tablet and save the final field setup.","Prepare the map and drzewos, otwórz tablet mode, wczytaj changes from the tablet and zapisz the final field konfiguracja.",draft
centre.fieldSetup.errorCount,{count} error(s),{count} błąd(s),draft
centre.fieldSetup.noBlockingError,No blocking error,No blocking błąd,draft
centre.fieldSetup.requiredAssignments,{ready} / {total} required assignments,{gotowe} / {total} required assignments,draft
centre.fieldSetup.tabletSyncLoaded,Tablet sync loaded,Tablet sync wczytajed,draft
centre.fieldSetup.tabletAccess,Tablet access,Dostęp tabletu,draft
centre.fieldSetup.reopenRequiresPassword,Reopen requires Vetarbo,Reotwórz requires Vetarbo,draft
centre.fieldSetup.openTablet,Open tablet,Otwórz tablet,draft
centre.fieldSetup.loadTabletChanges,Load tablet changes,Wczytaj zmiany z tabletu,draft
centre.fieldSetup.loadTabletChangesTitle,Load changes saved by the tablet,Wczytaj changes zapiszd by the tablet,draft
centre.fieldSetup.lastSyncLoaded,Last sync loaded: {date},Last sync wczytajed: {date},draft
centre.fieldSetup.siteName,Site name,Site name,draft
centre.fieldSetup.examId,Exam ID,Egzamin ID,draft
centre.fieldSetup.referenceCoordinates,Reference coordinates,Reference coordinates,draft
centre.fieldSetup.mapPreviewTitle,Field site map preview,Field site map preview,draft
centre.fieldSetup.mapPreviewHelper,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,draft
centre.fieldSetup.reference,Reference,Reference,draft
centre.fieldSetup.centerMarker,Centre,Centrum,draft
centre.fieldSetup.treeMarker,tree,drzewo,draft
centre.fieldSetup.examCentre,Exam centre,Egzamin centre,draft
centre.fieldSetup.latitude,Latitude,Latitude,draft
centre.fieldSetup.longitude,Longitude,Longitude,draft
centre.fieldSetup.candidateNote,Candidate note,Kandydat note,draft
centre.fieldSetup.internalNote,Internal note,Internal note,draft
centre.fieldSetup.selectedTree,Selected tree,Wybrane drzewo,draft
centre.fieldSetup.treeName,Tree name,Nazwa drzewa,draft
centre.fieldSetup.assignments,Assignments,Assignments,draft
centre.fieldSetup.addAssignment,+ assignment,+ assignment,draft
centre.fieldSetup.managementDataTitle,Practicing A · management data,Practicing A · management data,draft
centre.fieldSetup.taxon,Taxon,Taxon,draft
centre.fieldSetup.heightM,Height m,Height m,draft
centre.fieldSetup.stemDiameterCm,Stem diameter cm,Stem diameter cm,draft
centre.fieldSetup.crownSpreadM,Crown spread m,Crown spread m,draft
centre.fieldSetup.interventionTechnology,Intervention technology,Intervention technology,draft
centre.fieldSetup.addTechnology,+ technology,+ technology,draft
centre.fieldSetup.technology,Technology,Technology,draft
centre.fieldSetup.description,Description,Description,draft
centre.fieldSetup.photos,Photos,Zdjęcia,draft
centre.fieldSetup.selectTreeOrCentre,Select a tree or the exam centre on the map.,Select a drzewo or the egzamin centre on the map.,draft
centre.fieldSetup.validationTitle,Validation,Walidacja,draft
centre.fieldSetup.validationComplete,Preparation is complete.,Preparation is complete.,draft
centre.fieldSetup.error.allRequiredReady,All required Practicing A-D and Consulting A-D trees are already prepared. Add another tree only by changing an existing assignment.,All required Practicing A-D and Consulting A-D drzewos are algotowe prepared. Add another drzewo only by changing an existing assignment.,draft
centre.fieldSetup.error.loadFailed,Field setup could not be loaded.,Field konfiguracja could not be wczytajed.,draft
centre.fieldSetup.status.loaded,Field setup loaded.,Field konfiguracja wczytajed.,draft
centre.fieldSetup.error.tabletLoadFailed,Tablet changes could not be loaded.,Tablet changes could not be wczytajed.,draft
centre.fieldSetup.status.tabletChangesLoadedWithId,Tablet changes loaded ({syncId}).,Tablet changes wczytajed ({syncId}).,draft
centre.fieldSetup.status.tabletChangesLoaded,Tablet changes loaded.,Tablet changes wczytajed.,draft
centre.fieldSetup.error.saveFailed,Field setup could not be saved.,Field konfiguracja could not be zapiszd.,draft
centre.fieldSetup.status.saved,Field setup saved.,Field konfiguracja zapiszd.,draft
centre.fieldSetup.error.coordinateFormat,"Coordinates must use a format such as 49.406706323, 15.129055089.","Coordinates must use a format such as 49.406706323, 15.129055089.",draft
centre.fieldSetup.reopenPrompt,Field tablet has already been synced back. Enter Vetarbo password to reopen it:,Field tablet has algotowe been synced back. Enter Vetarbo password to reotwórz it:,draft
centre.fieldSetup.error.tabletLocked,Tablet mode is locked after tablet changes were loaded. Enter the Vetarbo password to reopen it.,Tablet mode is locked after tablet changes were wczytajed. Enter the Vetarbo password to reotwórz it.,draft
centre.fieldSetup.validation.centerGps,Exam centre does not have valid GPS coordinates.,Egzamin centre does not have valid GPS coordinates.,draft
centre.fieldSetup.validation.treeGps,{tree} does not have valid GPS coordinates.,{drzewo} does not have valid GPS coordinates.,draft
centre.fieldSetup.validation.missingTree,Missing {level} tree {code}.,Missing {level} drzewo {code}.,draft
centre.fieldSetup.validation.duplicateTree,{level} tree {code} is assigned more than once.,{level} drzewo {code} is assigned more than once.,draft
centre.fieldSetup.validation.practicingAMissingData,Practicing A has no management data.,Practicing A has no management data.,draft
centre.fieldSetup.validation.practicingATaxon,Practicing A: taxon is missing.,Practicing A: taxon is missing.,draft
centre.fieldSetup.validation.practicingAHeight,Practicing A: height is missing.,Practicing A: height is missing.,draft
centre.fieldSetup.validation.practicingAStemDiameter,Practicing A: stem diameter is missing.,Practicing A: stem diameter is missing.,draft
centre.fieldSetup.validation.practicingACrownSpread,Practicing A: crown spread is missing.,Practicing A: crown spread is missing.,draft
centre.fieldSetup.validation.practicingAIntervention,Practicing A: at least one intervention technology is missing.,Practicing A: at least one intervention technology is missing.,draft
fieldTablet.defaultTreeName,Tree {index},Drzewo {index},draft
vetcert.rules.title,VETcert Rules reference,Odniesienie do zasad VETcert,draft
vetcert.rules.body,"Official examination rules are the reference document for the certification process. Examination materials, model answers and completed exams are confidential.","Official egzaminination rules are the reference document for the certification process. Egzaminination materials, model odpowiedźs and completed egzamins are confidential.",draft
vetcert.rules.confidentiality,"Do not show correct answers, answer keys or guiding marking notes to Candidates or Examiners in the assessment interface.","Do not show correct odpowiedźs, odpowiedź keys or guiding marking notes to Kandydats or Egzamininers in the assessment interface.",draft
centre.fieldSetup.choosePhotos,Choose photos,Wybierz zdjęcia,draft
centre.fieldSetup.noPhotosSelected,No photos selected,Nie wybrano zdjęć,draft
centre.fieldSetup.photoCount,{count} photo(s) selected,Wybrano zdjęć: {count},draft
admin.translation.termSaved,Translation saved locally.,Tłumaczenie zapisano lokalnie.,draft
admin.translation.clickToEdit,Click to edit this UI text.,"Kliknij, aby edytować ten tekst UI.",draft
admin.translation.editCurrent,Edit current UI text for {key},Edit aktualny UI tekst for {key},draft
