key,en_source,current_ui_text,context
admin.translation.sectionDescription,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,User interface translations are managed here. Examination content translation is controlled by the package created in section A.,Interface term
admin.centreAccess.title,Centre access link / QR,Centrs access link / QR,Interface term
admin.centreAccess.send,Send centre link / QR,Send centre link / QR,Interface term
admin.centreAccess.scan,Scan centre QR,Scan centre QR,Interface term
admin.multilingual.title,Admin / Multilingual layer,Administrators / Multilingual layer,Interface term
admin.multilingual.subtitle,UI translations are managed separately from exam content.,UI translations are managed separately from exam content.,Interface term
admin.multilingual.sourceTerms,EN source + national terms,EN source + national terms,Interface term
admin.multilingual.needsReview,needs review,needs review,Interface term
status.openedForCentre,Opened for Centre,Atvērted for Centrs,Interface term
audit.centreAccessSent,Centre access link sent,Centrs access link sent,Interface term
status.testImport.loadedStoredFull,Loaded stored test package with {variants} variant(s) and {questions} question(s).,Ielādēted stored test package with {variants} variant(s) and {jautājumi} question(s). {questions},Interface term
status.testImport.loadedStored,Loaded stored test package.,Ielādēted stored test package.,Interface term
status.centreAuditExport.unavailable,The Centre Audit Package requires a valid Centre session. Reopen the Centre QR and try again.,The Centrs Audit Pakotne requires a valid Centrs session. Reopen the Centrs QR and try again.,Interface term
app.mvpPrototype,Full workflow,Full workflow,Interface term
app.offlineFirst,offline-first,offline-first,Interface term
common.loading,Loading...,Ielādēting...,Interface term
admin.translation.interfaceOnly,Translation management applies only to the application interface. Exam content comes from the Admin package and must not be changed by UX language.,Translation management applies only to the application interface. Exam content comes from the Administrators package and must not be changed by UX language.,Interface term
admin.translation.tableTitle,Dedicated UI translation table,Dedicated UI translation table,Interface term
admin.translation.tableHelper,"Every interface term is stored here with its key, English source, current UI translation and context for Admin review.","Every interface term is stored here with its key, English source, current UI translation and context for Administrators review.",Interface term
admin.translation.source,EN source,EN source,Interface term
admin.translation.current,Current UI text,Pašreizējais UI text,Interface term
admin.translation.exportCsv,Export translation CSV,Eksportēt translation CSV,Interface term
admin.translation.import,Import translation file,Importēt translation file,Interface term
admin.translation.importHelper,Import UI translations into the currently selected interface language. The file may be CSV exported from this table or a flat JSON dictionary.,Importēt UI translations into the currently atlasīts interface language. The file may be CSV exported from this table or a flat JSON dictionary.,Interface term
admin.translation.importConfirm,Importing translations for {language} (from the system setting). Overwrite the current interface?,Importēting translations for {language} (from the system setting). Overwrite the current interface?,Interface term
admin.translation.importYes,"Yes, overwrite","Jā, overwrite",Interface term
admin.translation.importNo,No,Nē,Interface term
admin.translation.importReady,{count} translation term(s) found.,{count} translation term(s) found.,Interface term
admin.translation.imported,Translations were imported. Reloading the interface.,Translations were imported. Reloading the interface.,Interface term
admin.translation.importFailed,Translation import failed. Check the file format.,Translation import failed. Check the file format.,Interface term
admin.centreAccess.helper,Generate the centre link only when the package is ready and the exam is open.,Generate the centre link only when the package is ready and the exam is open.,Interface term
admin.centreAccess.copyPrompt,Copy the Centre access link,Copy the Centrs access link,Interface term
admin.packagePdf.helper,Certification PDFs are converted into a local JSON package. The application UX language does not change the language or content of exam documents.,Certification PDFs are converted into a local JSON package. The application UX language does not change the language or content of exam documents.,Interface term
admin.packagePdf.convert,Convert 4 PDFs,Convert 4 PDFs,Interface term
admin.packagePdf.loadList,Load list,Ielādēt list,Interface term
admin.packagePdf.loadLatest,Load latest,Ielādēt latest,Interface term
admin.packagePdf.loadActive,Load active,Ielādēt active,Interface term
admin.packagePdf.approve,Approve for Centre,Approve for Centrs,Interface term
admin.packagePdf.overrideApprove,Override approval,Override approval,Interface term
centre.package.sectionTitle,A - Load exam package,A - Ielādēt exam package,Interface term
centre.package.sectionDescription,Load the .vet package sent by Admin. The package sets the content of tests and forms for further exam preparation.,Ielādēt the .vet package sent by Administrators. The package sets the content of tests and forms for further exam preparation.,Interface term
centre.package.panelTitle,Load the .vet package sent by Admin,Ielādēt the .vet package sent by Administrators,Interface term
centre.package.panelHelper,This step sets the current exam content for the centre. Levels and variants are taken directly from the package.,This step sets the current exam content for the centre. Levels and variants are taken directly from the package.,Interface term
centre.package.cardHelper,"Select VetBara Package 1. The package contains rules, tests and forms for the outdoor session in the relevant language.","Select VetBara Pakotne 1. The package contains rules, tests and forms for the outdoor session in the relevant language.",Interface term
centre.package.loadFile,Load .vet,Ielādēt .vet,Interface term
centre.package.loadServer,Load from server,Ielādēt from server,Interface term
centre.package.defaultLabel,package,package,Interface term
centre.package.activeLabel,active package,active package,Interface term
centre.package.statusLoaded,"Loaded: {label} ({testQuestions} test questions, {outdoorItems} outdoor items).","Ielādēted: {label} ({testJautājumss} test jautājumi, {outdoorItems} outdoor vienumi). {testQuestions}",Interface term
centre.package.statusLoadingVet,Loading VetBara Package 1 (.vet)...,Ielādēting VetBara Pakotne 1 (.vet)...,Interface term
centre.package.statusLoadingServer,Loading active package from server...,Ielādēting active package from server...,Interface term
centre.package.errorNoData,The package does not contain Package 1 data.,The package does not contain Pakotne 1 data.,Interface term
centre.package.errorImportFailed,Importing the .vet package failed.,Importēting the .vet package failed.,Interface term
centre.package.errorServerFailed,Loading the active package failed.,Ielādēting the active package failed.,Interface term
centre.advancedTools,Advanced tools,Advanced tools,Interface term
centre.advancedTools.helper,"Service options for audit, manual import of older packages and operational checks. A normal exam run usually does not need them.","Service options for audit, manual import of older packages and operational checks. A normal exam run usually does not need them.",Interface term
centre.setup.openSaved,Open saved setup,Atvērt saved setup,Interface term
centre.fieldSetup.sectionTitle,B - Field site setup,B - Field site setup,Interface term
centre.fieldSetup.sectionDescription,"Preparation of the field part of the exam: test centre, physical trees, Practicing/Consulting A-D assignments, Practicing A data, validation and candidate exports.","Preparation of the field part of the exam: test centre, physical trees, Practicing/Consulting A-D assignments, Practicing A data, validation and candidate exports.",Interface term
centre.people.sectionTitle,C - Candidates and examiners,C - Kandidātss and examiners,Interface term
centre.people.sectionDescription,"Manage candidates, examiners and primary/secondary examiner assignments. Candidate and examiner lists use the same type of edit cards.","Manage candidates, examiners and primary/secondary examiner assignments. Kandidāts and examiner lists use the same type of edit cards.",Interface term
candidate.section.orientation,Orientation,Orientation,Interface term
candidate.section.trees,Tree preparation,Koks preparation,Interface term
field.map.packageStored,Field map package is stored on this tablet.,Field map package is stored on this tablet.,Interface term
examiner.offlinePackage.title,Offline candidate package,Offline candidate package,Interface term
examiner.offlinePackage.helper,"If the backend or internet does not work, upload the JSON package exported from the Candidate portal here.","If the backend or internet does not work, upload the JSON package exported from the Kandidāts portal here.",Interface term
examiner.offlinePackage.import,Import offline package,Importēt offline package,Interface term
common.remove,Remove,Noņemt,Interface term
common.saving,Saving...,Saving...,Interface term
centre.setup.save,Save setup,Saglabāt setup,Interface term
centre.meta.packageLoaded,Package loaded,Pakotne loaded,Interface term
centre.meta.waitingForPackage,Waiting for package,Waiting for package,Interface term
centre.meta.peopleCount,{candidates} candidate(s) · {examiners} examiner(s),{candidates} candidate(s) · {examiners} examiner(s),Interface term
centre.meta.checkCount,{count} check(s),{count} check(s),Interface term
centre.candidates.helper,Enter candidates and their exam level.,Enter candidates and their exam level.,Interface term
centre.examiners.helper,Add or edit examiners who will be assigned to candidates.,Add or edit examiners who will be assigned to candidates.,Interface term
centre.accessControl.sectionTitle,D - Access and checks,D - Access and checks,Interface term
centre.accessControl.sectionDescription,"QR links for candidates and examiners, readiness checks and operational exam overview.","QR links for candidates and examiners, readiness checks and operational exam overview.",Interface term
centre.results.title,Candidate results overview,Kandidāts results overview,Interface term
centre.results.helper,Summary of individual candidate results. Result editing takes place in the Examiner interface after clicking the relevant result.,Summary of individual candidate results. Rezultāts editing takes place in the Eksaminētājs interface after clicking the relevant result.,Interface term
centre.results.candidateNumber,Candidate number,Kandidāts number,Interface term
centre.results.name,Name,Vārds,Interface term
centre.results.testResult,Test result,Tests result,Interface term
centre.results.outdoorResult,Outdoor result,Outdoor result,Interface term
centre.results.reportResult,Report result,Ziņojums result,Interface term
centre.results.answeredCount,{answered} / {total} answered,{answered} / {total} answered,Interface term
centre.results.primary,Primary,Primary,Interface term
centre.results.secondary,Secondary,Secondary,Interface term
centre.results.notRequired,Not required,Nēt required,Interface term
common.find,Find,Find,Interface term
common.name,Name,Vārds,Interface term
centre.fieldSetup.panelTitle,Field site setup,Field site setup,Interface term
centre.fieldSetup.panelHelper,"Prepare the map and trees, open tablet mode, load changes from the tablet and save the final field setup.","Prepare the map and trees, open tablet mode, load changes from the tablet and save the final field setup.",Interface term
centre.fieldSetup.errorCount,{count} error(s),{count} kļūda(-as),Interface term
centre.fieldSetup.noBlockingError,No blocking error,Nē blocking error,Interface term
centre.fieldSetup.requiredAssignments,{ready} / {total} required assignments,{ready} / {total} required assignments,Interface term
centre.fieldSetup.tabletSyncLoaded,Tablet sync loaded,Planšete sync loaded,Interface term
centre.fieldSetup.tabletAccess,Tablet access,Planšete access,Interface term
centre.fieldSetup.reopenRequiresPassword,Reopen requires Vetarbo,Reopen requires Vetarbo,Interface term
centre.fieldSetup.openTablet,Open tablet,Atvērt tablet,Interface term
centre.fieldSetup.loadTabletChanges,Load tablet changes,Ielādēt tablet changes,Interface term
centre.fieldSetup.loadTabletChangesTitle,Load changes saved by the tablet,Ielādēt changes saved by the tablet,Interface term
centre.fieldSetup.lastSyncLoaded,Last sync loaded: {date},Last sync loaded: {date},Interface term
centre.fieldSetup.siteName,Site name,Site name,Interface term
centre.fieldSetup.examId,Exam ID,Exam ID,Interface term
centre.fieldSetup.referenceCoordinates,Reference coordinates,Reference coordinates,Interface term
centre.fieldSetup.mapPreviewTitle,Field site map preview,Field site map preview,Interface term
centre.fieldSetup.mapPreviewHelper,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,Interface term
centre.fieldSetup.reference,Reference,Reference,Interface term
centre.fieldSetup.centerMarker,Centre,Centrs,Interface term
centre.fieldSetup.treeMarker,tree,tree,Interface term
centre.fieldSetup.examCentre,Exam centre,Exam centre,Interface term
centre.fieldSetup.latitude,Latitude,Latitude,Interface term
centre.fieldSetup.longitude,Longitude,Longitude,Interface term
centre.fieldSetup.candidateNote,Candidate note,Kandidāts note,Interface term
centre.fieldSetup.internalNote,Internal note,Internal note,Interface term
centre.fieldSetup.selectedTree,Selected tree,Selected tree,Interface term
centre.fieldSetup.treeName,Tree name,Koks name,Interface term
centre.fieldSetup.assignments,Assignments,Assignments,Interface term
centre.fieldSetup.addAssignment,+ assignment,+ assignment,Interface term
centre.fieldSetup.managementDataTitle,Practicing A · management data,Practicing A · management data,Interface term
centre.fieldSetup.taxon,Taxon,Taxon,Interface term
centre.fieldSetup.heightM,Height m,Height m,Interface term
centre.fieldSetup.stemDiameterCm,Stem diameter cm,Stem diameter cm,Interface term
centre.fieldSetup.crownSpreadM,Crown spread m,Crown spread m,Interface term
centre.fieldSetup.interventionTechnology,Intervention technology,Intervention technology,Interface term
centre.fieldSetup.addTechnology,+ technology,+ technology,Interface term
centre.fieldSetup.technology,Technology,Technology,Interface term
centre.fieldSetup.description,Description,Apraksts,Interface term
centre.fieldSetup.photos,Photos,Fotogrāfijas,Interface term
centre.fieldSetup.selectTreeOrCentre,Select a tree or the exam centre on the map.,Select a tree or the exam centre on the map.,Interface term
centre.fieldSetup.validationTitle,Validation,Validācija,Interface term
centre.fieldSetup.validationComplete,Preparation is complete.,Preparation is complete.,Interface term
centre.fieldSetup.error.allRequiredReady,All required Practicing A-D and Consulting A-D trees are already prepared. Add another tree only by changing an existing assignment.,Visi required Practicing A-D and Consulting A-D trees are already prepared. Add another tree only by changing an existing assignment.,Interface term
centre.fieldSetup.error.loadFailed,Field setup could not be loaded.,Field setup could not be loaded.,Interface term
centre.fieldSetup.status.loaded,Field setup loaded.,Field setup loaded.,Interface term
centre.fieldSetup.error.tabletLoadFailed,Tablet changes could not be loaded.,Planšete changes could not be loaded.,Interface term
centre.fieldSetup.status.tabletChangesLoadedWithId,Tablet changes loaded ({syncId}).,Planšete changes loaded ({syncId}).,Interface term
centre.fieldSetup.status.tabletChangesLoaded,Tablet changes loaded.,Planšete changes loaded.,Interface term
centre.fieldSetup.error.saveFailed,Field setup could not be saved.,Field setup could not be saved.,Interface term
centre.fieldSetup.status.saved,Field setup saved.,Field setup saved.,Interface term
centre.fieldSetup.error.coordinateFormat,"Coordinates must use a format such as 49.406706323, 15.129055089.","Coordinates must use a format such as 49.406706323, 15.129055089.",Interface term
centre.fieldSetup.reopenPrompt,Field tablet has already been synced back. Enter Vetarbo password to reopen it:,Field tablet has already been synced back. Enter Vetarbo password to reopen it:,Interface term
centre.fieldSetup.error.tabletLocked,Tablet mode is locked after tablet changes were loaded. Enter the Vetarbo password to reopen it.,Planšete mode is locked after tablet changes were loaded. Enter the Vetarbo password to reopen it.,Interface term
centre.fieldSetup.validation.centerGps,Exam centre does not have valid GPS coordinates.,Exam centre does not have valid GPS coordinates.,Interface term
centre.fieldSetup.validation.treeGps,{tree} does not have valid GPS coordinates.,{tree} does not have valid GPS coordinates.,Interface term
centre.fieldSetup.validation.missingTree,Missing {level} tree {code}.,Trūkst {level} tree {code}.,Interface term
centre.fieldSetup.validation.duplicateTree,{level} tree {code} is assigned more than once.,{level} tree {code} is assigned more than once.,Interface term
centre.fieldSetup.validation.practicingAMissingData,Practicing A has no management data.,Practicing A has no management data.,Interface term
centre.fieldSetup.validation.practicingATaxon,Practicing A: taxon is missing.,Practicing A: taxon is missing.,Interface term
centre.fieldSetup.validation.practicingAHeight,Practicing A: height is missing.,Practicing A: height is missing.,Interface term
centre.fieldSetup.validation.practicingAStemDiameter,Practicing A: stem diameter is missing.,Practicing A: stem diameter is missing.,Interface term
centre.fieldSetup.validation.practicingACrownSpread,Practicing A: crown spread is missing.,Practicing A: crown spread is missing.,Interface term
centre.fieldSetup.validation.practicingAIntervention,Practicing A: at least one intervention technology is missing.,Practicing A: at least one intervention technology is missing.,Interface term
fieldTablet.defaultTreeName,Tree {index},Koks {index},Interface term
vetcert.rules.title,VETcert Rules reference,VETcert Rules reference,Interface term
vetcert.rules.body,"Official examination rules are the reference document for the certification process. Examination materials, model answers and completed exams are confidential.","Official examination rules are the reference document for the certification process. Examination materials, model atbildes and completed exams are confidential.",Interface term
vetcert.rules.confidentiality,"Do not show correct answers, answer keys or guiding marking notes to Candidates or Examiners in the assessment interface.","Do not show correct atbildes, answer keys or guiding marking notes to Kandidātss or Eksaminētājss in the assessment interface.",Interface term
centre.fieldSetup.choosePhotos,Choose photos,Izvēlēties fotogrāfijas,Interface term
centre.fieldSetup.noPhotosSelected,No photos selected,Nav atlasītu fotogrāfiju,Interface term
centre.fieldSetup.photoCount,{count} photo(s) selected,Atlasītas fotogrāfijas: {count},Interface term
admin.translation.termSaved,Translation saved locally.,Tulkojums saglabāts lokāli.,Interface term
admin.translation.clickToEdit,Click to edit this UI text.,"Noklikšķiniet, lai rediģētu šo UI tekstu.",Interface term
admin.translation.editCurrent,Edit current UI text for {key},Rediģēt pašreizējo UI tekstu: {key},Interface term
