key,source,target,status
admin.translation.import,Import translation file,Importar ficheiro de tradução,draft
admin.translation.importHelper,Import UI translations into the currently selected interface language. The file may be CSV exported from this table or a flat JSON dictionary.,Importar UI translations into the atually selected interface idioma. The file may be CSV exportared from this table or a flat JSON dictionary.,draft
admin.translation.importConfirm,Importing translations for {language} (from the system setting). Overwrite the current interface?,Importaring translations for {idioma} (from the system setting). Overwrite the atual interface?,draft
admin.translation.importYes,"Yes, overwrite","Yes, overwrite",draft
admin.translation.importNo,No,No,draft
admin.translation.importReady,{count} translation term(s) found.,{count} translation term(s) found.,draft
admin.translation.imported,Translations were imported. Reloading the interface.,Translations were importared. Recarregaring the interface.,draft
admin.translation.importFailed,Translation import failed. Check the file format.,Translation importar failed. Check the file format.,draft
admin.centreAccess.helper,Generate the centre link only when the package is ready and the exam is open.,Generate the centre link only when the pacote is pronto and the exame is abrir.,draft
admin.centreAccess.copyPrompt,Copy the Centre access link,Copy the Centre access link,draft
admin.packagePdf.helper,Certification PDFs are converted into a local JSON package. The application UX language does not change the language or content of exam documents.,Certification PDFs are converted into a local JSON pacote. The application UX idioma does not change the idioma or content of exame documents.,draft
admin.packagePdf.convert,Convert 4 PDFs,Convert 4 PDFs,draft
admin.packagePdf.loadList,Load list,Carregar list,draft
admin.packagePdf.loadLatest,Load latest,Carregar latest,draft
admin.packagePdf.loadActive,Load active,Carregar active,draft
admin.packagePdf.approve,Approve for Centre,Approve for Centre,draft
admin.packagePdf.overrideApprove,Override approval,Override approval,draft
centre.package.sectionTitle,A - Load exam package,A - Carregar exame pacote,draft
centre.package.sectionDescription,Load the .vet package sent by Admin. The package sets the content of tests and forms for further exam preparation.,Carregar the .vet pacote sent by Admin. The pacote sets the content of tests and forms for further exame preparation.,draft
centre.package.panelTitle,Load the .vet package sent by Admin,Carregar o pacote .vet enviado pelo Admin,draft
centre.package.panelHelper,This step sets the current exam content for the centre. Levels and variants are taken directly from the package.,This step sets the atual exame content for the centre. Levels and variants are taken directly from the pacote.,draft
centre.package.cardHelper,"Select VetBara Package 1. The package contains rules, tests and forms for the outdoor session in the relevant language.","Select VetBara Pacote 1. The pacote contains rules, tests and forms for the outdoor session in the relevant idioma.",draft
centre.package.loadFile,Load .vet,Carregar .vet,draft
centre.package.loadServer,Load from server,Carregar do servidor,draft
centre.package.defaultLabel,package,pacote,draft
centre.package.activeLabel,active package,active pacote,draft
centre.package.statusLoaded,"Loaded: {label} ({testQuestions} test questions, {outdoorItems} outdoor items).","Carregared: {label} ({testPerguntas} test perguntas, {outdoorItems} outdoor items).",draft
centre.package.statusLoadingVet,Loading VetBara Package 1 (.vet)...,Carregaring VetBara Pacote 1 (.vet)...,draft
centre.package.statusLoadingServer,Loading active package from server...,Carregaring active pacote from server...,draft
centre.package.errorNoData,The package does not contain Package 1 data.,The pacote does not contain Pacote 1 data.,draft
centre.package.errorImportFailed,Importing the .vet package failed.,Importaring the .vet pacote failed.,draft
centre.package.errorServerFailed,Loading the active package failed.,Carregaring the active pacote failed.,draft
centre.advancedTools,Advanced tools,Ferramentas avançadas,draft
centre.advancedTools.helper,"Service options for audit, manual import of older packages and operational checks. A normal exam run usually does not need them.","Service options for audit, manual importar of older pacotes and operational checks. A normal exame run usually does not need them.",draft
centre.setup.openSaved,Open saved setup,Abrir configuração guardada,draft
centre.fieldSetup.sectionTitle,B - Field site setup,B - Field site configuração,draft
centre.fieldSetup.sectionDescription,"Preparation of the field part of the exam: test centre, physical trees, Practicing/Consulting A-D assignments, Practicing A data, validation and candidate exports.","Preparation of the field part of the exame: test centre, physical árvores, Practicing/Consulting A-D assignments, Practicing A data, validação and candidato exportars.",draft
centre.people.sectionTitle,C - Candidates and examiners,C - Candidatos and exameiners,draft
centre.people.sectionDescription,"Manage candidates, examiners and primary/secondary examiner assignments. Candidate and examiner lists use the same type of edit cards.","Manage candidatos, exameiners and primary/secondary exameiner assignments. Candidato and exameiner lists use the same type of edit cards.",draft
candidate.section.orientation,Orientation,Orientation,draft
candidate.section.trees,Tree preparation,Árvore preparation,draft
field.map.packageStored,Field map package is stored on this tablet.,Field map pacote is stored on this tablet.,draft
examiner.offlinePackage.title,Offline candidate package,Offline candidato pacote,draft
examiner.offlinePackage.helper,"If the backend or internet does not work, upload the JSON package exported from the Candidate portal here.","If the backend or internet does not work, upcarregar the JSON pacote exportared from the Candidato portal here.",draft
examiner.offlinePackage.import,Import offline package,Importar offline pacote,draft
common.remove,Remove,Remove,draft
common.saving,Saving...,Saving...,draft
centre.setup.save,Save setup,Guardar configuração,draft
centre.meta.packageLoaded,Package loaded,Pacote carregared,draft
centre.meta.waitingForPackage,Waiting for package,Waiting for pacote,draft
centre.meta.peopleCount,{candidates} candidate(s) · {examiners} examiner(s),{candidatos} candidato(s) · {exameiners} exameiner(s),draft
centre.meta.checkCount,{count} check(s),{count} check(s),draft
centre.candidates.helper,Enter candidates and their exam level.,Enter candidatos and their exame level.,draft
centre.examiners.helper,Add or edit examiners who will be assigned to candidates.,Add or edit exameiners who will be assigned to candidatos.,draft
centre.accessControl.sectionTitle,D - Access and checks,D - Access and checks,draft
centre.accessControl.sectionDescription,"QR links for candidates and examiners, readiness checks and operational exam overview.","QR links for candidatos and exameiners, readiness checks and operational exame overview.",draft
centre.results.title,Candidate results overview,Resumo dos resultados dos candidatos,draft
centre.results.helper,Summary of individual candidate results. Result editing takes place in the Examiner interface after clicking the relevant result.,Summary of individual candidato results. Result editing takes place in the Exameiner interface after clicking the relevant result.,draft
centre.results.candidateNumber,Candidate number,Número do candidato,draft
centre.results.name,Name,Nome,draft
centre.results.testResult,Test result,Resultado do teste,draft
centre.results.outdoorResult,Outdoor result,Resultado outdoor,draft
centre.results.reportResult,Report result,Resultado do relatório,draft
centre.results.answeredCount,{answered} / {total} answered,{respostaed} / {total} respostaed,draft
centre.results.primary,Primary,Primary,draft
centre.results.secondary,Secondary,Secondary,draft
centre.results.notRequired,Not required,Não obrigatório,draft
common.find,Find,Find,draft
common.name,Name,Nome,draft
centre.fieldSetup.panelTitle,Field site setup,Preparação do local de campo,draft
centre.fieldSetup.panelHelper,"Prepare the map and trees, open tablet mode, load changes from the tablet and save the final field setup.","Prepare the map and árvores, abrir tablet mode, carregar changes from the tablet and guardar the final field configuração.",draft
centre.fieldSetup.errorCount,{count} error(s),{count} erro(s),draft
centre.fieldSetup.noBlockingError,No blocking error,No blocking erro,draft
centre.fieldSetup.requiredAssignments,{ready} / {total} required assignments,{pronto} / {total} required assignments,draft
centre.fieldSetup.tabletSyncLoaded,Tablet sync loaded,Tablet sync carregared,draft
centre.fieldSetup.tabletAccess,Tablet access,Acesso por tablet,draft
centre.fieldSetup.reopenRequiresPassword,Reopen requires Vetarbo,Reabrir requires Vetarbo,draft
centre.fieldSetup.openTablet,Open tablet,Abrir tablet,draft
centre.fieldSetup.loadTabletChanges,Load tablet changes,Carregar alterações do tablet,draft
centre.fieldSetup.loadTabletChangesTitle,Load changes saved by the tablet,Carregar changes guardard by the tablet,draft
centre.fieldSetup.lastSyncLoaded,Last sync loaded: {date},Last sync carregared: {date},draft
centre.fieldSetup.siteName,Site name,Site name,draft
centre.fieldSetup.examId,Exam ID,Exame ID,draft
centre.fieldSetup.referenceCoordinates,Reference coordinates,Reference coordinates,draft
centre.fieldSetup.mapPreviewTitle,Field site map preview,Field site map preview,draft
centre.fieldSetup.mapPreviewHelper,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,The MVP shows a working map canvas with GPS points. Real Leaflet/CUZK layers are prepared as the next technical step of the module.,draft
centre.fieldSetup.reference,Reference,Reference,draft
centre.fieldSetup.centerMarker,Centre,Centro,draft
centre.fieldSetup.treeMarker,tree,árvore,draft
centre.fieldSetup.examCentre,Exam centre,Exame centre,draft
centre.fieldSetup.latitude,Latitude,Latitude,draft
centre.fieldSetup.longitude,Longitude,Longitude,draft
centre.fieldSetup.candidateNote,Candidate note,Candidato note,draft
centre.fieldSetup.internalNote,Internal note,Internal note,draft
centre.fieldSetup.selectedTree,Selected tree,Árvore selecionada,draft
centre.fieldSetup.treeName,Tree name,Nome da árvore,draft
centre.fieldSetup.assignments,Assignments,Assignments,draft
centre.fieldSetup.addAssignment,+ assignment,+ assignment,draft
centre.fieldSetup.managementDataTitle,Practicing A · management data,Practicing A · management data,draft
centre.fieldSetup.taxon,Taxon,Taxon,draft
centre.fieldSetup.heightM,Height m,Height m,draft
centre.fieldSetup.stemDiameterCm,Stem diameter cm,Stem diameter cm,draft
centre.fieldSetup.crownSpreadM,Crown spread m,Crown spread m,draft
centre.fieldSetup.interventionTechnology,Intervention technology,Intervention technology,draft
centre.fieldSetup.addTechnology,+ technology,+ technology,draft
centre.fieldSetup.technology,Technology,Technology,draft
centre.fieldSetup.description,Description,Description,draft
centre.fieldSetup.photos,Photos,Fotografias,draft
centre.fieldSetup.selectTreeOrCentre,Select a tree or the exam centre on the map.,Select a árvore or the exame centre on the map.,draft
centre.fieldSetup.validationTitle,Validation,Validação,draft
centre.fieldSetup.validationComplete,Preparation is complete.,Preparation is complete.,draft
centre.fieldSetup.error.allRequiredReady,All required Practicing A-D and Consulting A-D trees are already prepared. Add another tree only by changing an existing assignment.,All required Practicing A-D and Consulting A-D árvores are alpronto prepared. Add another árvore only by changing an existing assignment.,draft
centre.fieldSetup.error.loadFailed,Field setup could not be loaded.,Field configuração could not be carregared.,draft
centre.fieldSetup.status.loaded,Field setup loaded.,Field configuração carregared.,draft
centre.fieldSetup.error.tabletLoadFailed,Tablet changes could not be loaded.,Tablet changes could not be carregared.,draft
centre.fieldSetup.status.tabletChangesLoadedWithId,Tablet changes loaded ({syncId}).,Tablet changes carregared ({syncId}).,draft
centre.fieldSetup.status.tabletChangesLoaded,Tablet changes loaded.,Tablet changes carregared.,draft
centre.fieldSetup.error.saveFailed,Field setup could not be saved.,Field configuração could not be guardard.,draft
centre.fieldSetup.status.saved,Field setup saved.,Field configuração guardard.,draft
centre.fieldSetup.error.coordinateFormat,"Coordinates must use a format such as 49.406706323, 15.129055089.","Coordinates must use a format such as 49.406706323, 15.129055089.",draft
centre.fieldSetup.reopenPrompt,Field tablet has already been synced back. Enter Vetarbo password to reopen it:,Field tablet has alpronto been synced back. Enter Vetarbo password to reabrir it:,draft
centre.fieldSetup.error.tabletLocked,Tablet mode is locked after tablet changes were loaded. Enter the Vetarbo password to reopen it.,Tablet mode is locked after tablet changes were carregared. Enter the Vetarbo password to reabrir it.,draft
centre.fieldSetup.validation.centerGps,Exam centre does not have valid GPS coordinates.,Exame centre does not have valid GPS coordinates.,draft
centre.fieldSetup.validation.treeGps,{tree} does not have valid GPS coordinates.,{árvore} does not have valid GPS coordinates.,draft
centre.fieldSetup.validation.missingTree,Missing {level} tree {code}.,Missing {level} árvore {code}.,draft
centre.fieldSetup.validation.duplicateTree,{level} tree {code} is assigned more than once.,{level} árvore {code} is assigned more than once.,draft
centre.fieldSetup.validation.practicingAMissingData,Practicing A has no management data.,Practicing A has no management data.,draft
centre.fieldSetup.validation.practicingATaxon,Practicing A: taxon is missing.,Practicing A: taxon is missing.,draft
centre.fieldSetup.validation.practicingAHeight,Practicing A: height is missing.,Practicing A: height is missing.,draft
centre.fieldSetup.validation.practicingAStemDiameter,Practicing A: stem diameter is missing.,Practicing A: stem diameter is missing.,draft
centre.fieldSetup.validation.practicingACrownSpread,Practicing A: crown spread is missing.,Practicing A: crown spread is missing.,draft
centre.fieldSetup.validation.practicingAIntervention,Practicing A: at least one intervention technology is missing.,Practicing A: at least one intervention technology is missing.,draft
fieldTablet.defaultTreeName,Tree {index},Árvore {index},draft
vetcert.rules.title,VETcert Rules reference,Referência das regras VETcert,draft
vetcert.rules.body,"Official examination rules are the reference document for the certification process. Examination materials, model answers and completed exams are confidential.","Official exameination rules are the reference document for the certification process. Exameination materials, model respostas and completed exames are confidential.",draft
vetcert.rules.confidentiality,"Do not show correct answers, answer keys or guiding marking notes to Candidates or Examiners in the assessment interface.","Do not show correct respostas, resposta keys or guiding marking notes to Candidatos or Exameiners in the assessment interface.",draft
centre.fieldSetup.choosePhotos,Choose photos,Escolher fotografias,draft
centre.fieldSetup.noPhotosSelected,No photos selected,Nenhuma fotografia selecionada,draft
centre.fieldSetup.photoCount,{count} photo(s) selected,{count} fotografia(s) selecionada(s),draft
admin.translation.termSaved,Translation saved locally.,Tradução guardada localmente.,draft
admin.translation.clickToEdit,Click to edit this UI text.,Clique para editar este texto da interface.,draft
admin.translation.editCurrent,Edit current UI text for {key},Edit atual UI texto for {key},draft
